uf,municipio,logradouro,complemento,bairro,telefone,id
SP,Sao Jose do Rio Preto,Rua João Mesquita,2452 -,Boa Vista,(17) 3021 1280,1059830
SP,Socorro,Avenida Xv de Agosto,1210 -,Centro,(19) 38951107,658718
SP,Sao Bernardo do Campo,Rua Américo Margonari,69 -,Vila Mussoline,(11)4365 1981,13430
SP,Sao Bernardo do Campo,Avenida Senador Vergueiro,505 -,Jardim do Mar,(11) 2823 1000,137937
SP,Sao Jose do Rio Preto,Rua Eduardo Nielsen,960 -,Jardim Aeroporto,(17) 3354-6017,658218
SP,Sao Jose do Rio Preto,Rua Bernadino de Campos,4.708 -,Vila Redentora,43-33717473 31 21260820,1051705
SP,Sao Bernardo do Campo,Rua Ruy Barbosa,325 -,Centro,4332-4700,2001794
SP,Sao Jose do Rio Preto,Rua Santo Agostinho,312 -,Vila Nossa Senhora da Paz,11 4766-0611/ 16 3711-8933,22552
SP,Sao Jose do Rio Pardo,Rua Ananias Barbosa,133 -,Centro,08007744030,10728
SP,Sao Bernardo do Campo,Avenida Humberto Alencar Castelo Branco,3972 -,Assunção,(11) 4353 2900,658838
SP,Sao Vicente,Avenida Presidente Wilson,1013 -,Gonzaguinha,(13) 3467 6776 R 116,658707
SP,Sao Jose do Rio Preto,Rua Siqueira Campos,2552 -,Boa Vista,(19) 3222-4910,2000461
SP,Sao Jose do Rio Pardo,Rua Deputado Eduardo Vicente Nasser,850 -,Centro,(19) 3681-2655,1003527
SP,Sao Vicente,Avenida Capitão Mor Aguiar,798 -,Centro,(13)35698200,658687
SP,Santo Andre,Rua das Esmeraldas,67 -,Centro,(11) 2808-7515,27909
SP,Santo Andre,Rua Delfim Moreira,40 -,Centro,(11)4433-5050,657793
SP,Sao Bernardo do Campo,Rua João Pessoa,601 -,Centro,(11)4335-3277,708232
SP,Santo Andre,Avenida Industrial,1455 -,Jardim,(11)44336161,1037979
SP,Santo Andre,Av. Industrial,3330 -,Campestre,(43) 3371-7473  (31) 2126-0820,2008615
SP,Santana de Parnaiba,Av. Dib Sauaia Neto,190 -,Alphaville,(11)4153-1002,10701
SP,Santana de Parnaiba,Avenida Yojiro Takaoka,3500 -,Aphavile,11 4152 8888,2637
SP,Santo Andre,Rua Coronel Francisco,115 -,Centro,(11) 4994-9360,7444
SP,Sao Caetano do Sul,Rua Goitacazes,430 -,Santo Antônio,(11) 2376-4736,17957
SP,Santa Rita do Passa Quatro,Rua Rui de Barros Pimentel,82 -,Vila Mello,(19)3582-4118,6934
SP,Santa Rosa de Viterbo,Rua José Mendes Júnior,193 -,Centro,(11) 47660611 ou (11) 2178-1411,2001781
SP,Sao Caetano do Sul,Rua Martim Francisco,488 -,Santa Paula,(11) 42249490,697660
SP,Sao Bernardo do Campo,R. Imperatriz Leopoldina,103 -,Jd. Nova Petrópolis,00,9641
SP,Sao Carlos,Rua Miguel Petroni,5111 - Caixa Postal 307,Loteamento Habitacional São Carlos 1,(16) 3362 2111,703236
SP,Sao Carlos,Rua Major José Inácio,1661 -,Centro,11 4766-0611/ 16 3711-8933,17120
SP,Santa Fe do Sul,Rua 29,1089 -,Jd. Primavera,(17) 3631-2170,10122
SP,Sao Carlos,R. São Sebastião,2.173 -,Centro,(16) 3372-1235,9648
SP,Sao Paulo,Avenida Braz Leme,3029 - - de 2501 Ao Fim - Lado ??mpar,Santana,11-30149900,1056207
SP,Sao Paulo,Rua Iguatemi,306 - Fmu - Itaim,Itaim Bibi,(11) 97342-7111,707958
SP,Sao Paulo,Avenida da Liberdade,532 - Bloco C,Liberdade,(11) 3272-2273,657783
SP,Santo Anastacio,Rua Castro Alves,45 -,Vila Andorinda,43-33717473 31 21260820,2008414
SP,Sao Paulo,Av. Morumbi,501 - Fmu - Morumbi,Morumbi,(11) 3346-6221,708152
SP,Sao Paulo,Rua Taguá,150 - Prédio 1 - Campus Liberdade  I,Liberdade,11 982702994,657863
SP,Salto,Rua Taça Jules Rimet,101 -,Vila Henrique,(11) 4098-1015,17357
SP,Sao Paulo,Avenida da Liberdade,956 - - de 370 Ao Fim - Lado Par,Liberdade,(11) 3506-7005,27915
SP,Sao Paulo,Avenida Engenheiro Armando de Arruda Pereira,673 - - Até 1651 - Lado ??mpar,Jabaquara,31393311,1070865
SP,Sao Paulo,Rua Promotor Gabriel Netuzzi Perez,108 -,Santo Amaro,(11)4831-9436,658105
SP,Sao Paulo,Rua Promotor Gabriel Nettuzzi Perez,108 -,Santo Amaro,(11)7130-3971,9185
SP,Sao Paulo,Avenida Paulista,"302/306 - Conjuntos 10,50,60,70,80,90,100,110,120 e 130",Bela Vista,(11) 4501 9700,658816
SP,Sao Paulo,Rua Monte Pascal,100 -,Lapa,(11)4329-5335,6599
SP,Sao Vicente,Av. Presidente Wilson,424 -,Centro,(13)3469-1919,9652
SP,Sao Paulo,Avenida dos Remédios,810 -,Vila dos Remédios,(11)48319436,24332
SP,Sao Joao da Boa Vista,Rua São Lucas,49 -,Perpétuo Socorro,(19) 3631-6551,27911
SP,Sao Joao da Boa Vista,Av. Dr. Octávio da Silva Bastos,2439 -,Jardim Nova São João,(19) 3634-3320,1649
SP,Sao Paulo,Rua Flórida,943 -,Cidade Monções,(11) 4883-0508,2003905
SP,Sao Paulo,Avenida Nazaré,1.501 - - de 1353 Ao Fim - Lado ??mpar,Ipiranga,(11) 2588-4045 / (11)3465-2606,658065
SP,Sao Joao da Boa Vista,Rua Getulio Vargas,434 -,Centro,0,2008605
SP,Sao Paulo,Rua Tamandare,688 -,Liberdade,(11) 32745200,1303
SP,Santos,Avenida Rangel Pestana,99 -,Vila Mathias,(13) 3228-2040 / 3228-2022,657938
SP,Santa Barbara D`oeste,Rua da Agricultura,4.000 -,Gerivá,(19)3459-1000,659725
SP,Sao Bernardo do Campo,Rua Atlantica,731 -,Jardim do Mar,(43) 3371-7473  (31) 2126-0820,2008607
SP,Santa Barbara D`oeste,Rua João Batista Furlan,333 -,Vila Boldrin,(11) 47660611 ou (11) 2178-1411,23557
SP,Santos,Rua Batista Pereira,265 -,Macuco,(13) 3202 4100,697531
SP,Sao Paulo,Rua Raul Pompéia,144 -,Pompéia,11 3465-2720,1745
